ID,title,author_ID,genre,publishedAt,pages,price,currency,stock,status,createdAt,createdBy,modifiedAt,modifiedBy
32508139-cb39-48f2-866b-855a36401d99,"The Silent Forest",29739579-a79e-4c59-a5d8-b27fc939d58b,"Fiction","2018-04-12",340,49.99,INR,25,A,"2025-01-01T09:00:00Z","SYSTEM","2025-01-01T09:00:00Z","SYSTEM"
8b1d4b6d-2c5f-4c1c-ac20-e6a6e022f5b8,"A Brief History of Space",29739579-a79e-4c59-a5d8-b27fc939d58b,"Science","2021-09-01",280,69.99,INR,8,L,"2025-01-01T09:05:00Z","SYSTEM","2025-01-01T09:05:00Z","SYSTEM"
b3c97c1f-2e82-4c5d-9f63-45de1c72bb7d,"Cooking with Fire",29739579-a79e-4c59-a5d8-b27fc939d58b,"Cooking","2020-02-17",220,39.99,INR,0,U,"2025-01-01T09:10:00Z","SYSTEM","2025-01-01T09:10:00Z","SYSTEM"
c4f87443-9b2d-4b6e-a1e1-a65d6f47a6c5,"Winds of the North",12729882-477e-424d-805d-22a9dd5bf9f7,"Fantasy","2019-11-03",410,59.90,INR,15,A,"2025-01-01T09:15:00Z","SYSTEM","2025-01-01T09:15:00Z","SYSTEM"
2f0e3a28-2902-40bf-9a19-e0bff621adfb,"Gardening for Beginners",12729882-477e-424d-805d-22a9dd5bf9f7,"Hobby","2022-06-22",180,34.50,INR,5,L,"2025-01-01T09:20:00Z","SYSTEM","2025-01-01T09:20:00Z","SYSTEM"
94a7c74a-57a0-4e13-9ff8-33a89f92aa3d,"The Lost Empire",12729882-477e-424d-805d-22a9dd5bf9f7,"Adventure","2017-08-14",360,54.99,INR,0,U,"2025-01-01T09:25:00Z","SYSTEM","2025-01-01T09:25:00Z","SYSTEM"
dcd30d22-0bd8-4ea2-b5ba-84e27bd97558,"Mindful Living",12729883-ca10-4405-a0c6-a180d28427f7,"Self-Help","2023-03-02",250,42.00,INR,12,A,"2025-01-01T09:30:00Z","SYSTEM","2025-01-01T09:30:00Z","SYSTEM"
636fa2f7-1dfb-4926-afaf-7ae1716e998b,"The Ocean Below",12729884-46ff-4a00-814c-ee008e20d430,"Non-Fiction","2021-12-09",310,64.90,INR,6,L,"2025-01-01T09:35:00Z","SYSTEM","2025-01-01T09:35:00Z","SYSTEM"
0eacb82f-8765-46ef-9b41-21ba9c9f3df1,"Secrets of Architecture",12729884-46ff-4a00-814c-ee008e20d430,"Art","2016-05-27",295,79.00,INR,3,L,"2025-01-01T09:40:00Z","SYSTEM","2025-01-01T09:40:00Z","SYSTEM"
c92dfd60-8831-4c0d-b88f-19e0fd4e4df3,"Deep Sea Tales",12729885-da2f-4f4e-90d8-728cc409f2bb,"Children","2024-01-11",150,29.99,INR,20,A,"2025-01-01T09:45:00Z","SYSTEM","2025-01-01T09:45:00Z","SYSTEM"
